source_file,line_number,month,day,time,host,service,pid,event_type,status,username,source_ip,source_port,protocol,logname,uid,euid,tty,ruser,rhost,raw_message
03_sudo_failure.log,3,Jul,14,10:21:01,server03,sudo,,sudo_failure,failed,jdoe,,,,jdoe,1001,0,/dev/pts/0,jdoe,,Jul 14 10:21:01 server03 sudo: pam_unix(sudo:auth): authentication failure; logname=jdoe uid=1001 euid=0 tty=/dev/pts/0 ruser=jdoe rhost= user=jdoe
04_all_rules_combined.log,1,Jul,14,11:00:01,server01,sshd,4001,login_failure,failed,root,203.0.113.50,52001,ssh2,,,,,,,Jul 14 11:00:01 server01 sshd[4001]: Failed password for root from 203.0.113.50 port 52001 ssh2
04_all_rules_combined.log,2,Jul,14,11:00:08,server01,sshd,4002,login_failure,failed,root,203.0.113.50,52002,ssh2,,,,,,,Jul 14 11:00:08 server01 sshd[4002]: Failed password for root from 203.0.113.50 port 52002 ssh2
04_all_rules_combined.log,3,Jul,14,11:00:15,server01,sshd,4003,login_failure,failed,root,203.0.113.50,52003,ssh2,,,,,,,Jul 14 11:00:15 server01 sshd[4003]: Failed password for root from 203.0.113.50 port 52003 ssh2
04_all_rules_combined.log,4,Jul,14,11:00:22,server01,sshd,4004,login_failure,failed,root,203.0.113.50,52004,ssh2,,,,,,,Jul 14 11:00:22 server01 sshd[4004]: Failed password for root from 203.0.113.50 port 52004 ssh2
04_all_rules_combined.log,5,Jul,14,11:00:29,server01,sshd,4005,login_failure,failed,root,203.0.113.50,52005,ssh2,,,,,,,Jul 14 11:00:29 server01 sshd[4005]: Failed password for root from 203.0.113.50 port 52005 ssh2
04_all_rules_combined.log,6,Jul,14,11:10:01,server02,sshd,4101,invalid_user,failed,oracle,198.51.100.88,53001,ssh2,,,,,,,Jul 14 11:10:01 server02 sshd[4101]: Failed password for invalid user oracle from 198.51.100.88 port 53001 ssh2
04_all_rules_combined.log,7,Jul,14,11:10:11,server02,sshd,4102,invalid_user,failed,postgres,198.51.100.88,53002,ssh2,,,,,,,Jul 14 11:10:11 server02 sshd[4102]: Failed password for invalid user postgres from 198.51.100.88 port 53002 ssh2
04_all_rules_combined.log,8,Jul,14,11:10:21,server02,sshd,4103,invalid_user,failed,backup,198.51.100.88,53003,ssh2,,,,,,,Jul 14 11:10:21 server02 sshd[4103]: Failed password for invalid user backup from 198.51.100.88 port 53003 ssh2
04_all_rules_combined.log,9,Jul,14,11:20:01,server03,sudo,,sudo_failure,failed,mrivera,,,,mrivera,1003,0,/dev/pts/2,mrivera,,Jul 14 11:20:01 server03 sudo: pam_unix(sudo:auth): authentication failure; logname=mrivera uid=1003 euid=0 tty=/dev/pts/2 ruser=mrivera rhost= user=mrivera
04_all_rules_combined.log,10,Jul,14,11:20:31,server03,sudo,,sudo_failure,failed,mrivera,,,,mrivera,1003,0,/dev/pts/2,mrivera,,Jul 14 11:20:31 server03 sudo: pam_unix(sudo:auth): authentication failure; logname=mrivera uid=1003 euid=0 tty=/dev/pts/2 ruser=mrivera rhost= user=mrivera
04_all_rules_combined.log,11,Jul,14,11:21:01,server03,sudo,,sudo_failure,failed,mrivera,,,,mrivera,1003,0,/dev/pts/2,mrivera,,Jul 14 11:21:01 server03 sudo: pam_unix(sudo:auth): authentication failure; logname=mrivera uid=1003 euid=0 tty=/dev/pts/2 ruser=mrivera rhost= user=mrivera
04_all_rules_combined.log,12,Jul,14,11:30:01,server04,sshd,4201,login_success,accepted,analyst,10.0.0.25,54001,ssh2,,,,,,,Jul 14 11:30:01 server04 sshd[4201]: Accepted password for analyst from 10.0.0.25 port 54001 ssh2
05_no_alert_control.log,1,Jul,14,12:00:01,server01,sshd,5001,login_failure,failed,root,203.0.113.60,55001,ssh2,,,,,,,Jul 14 12:00:01 server01 sshd[5001]: Failed password for root from 203.0.113.60 port 55001 ssh2
05_no_alert_control.log,2,Jul,14,12:00:10,server01,sshd,5002,login_failure,failed,root,203.0.113.60,55002,ssh2,,,,,,,Jul 14 12:00:10 server01 sshd[5002]: Failed password for root from 203.0.113.60 port 55002 ssh2
05_no_alert_control.log,3,Jul,14,12:05:01,server02,sshd,5101,invalid_user,failed,oracle,198.51.100.99,56001,ssh2,,,,,,,Jul 14 12:05:01 server02 sshd[5101]: Failed password for invalid user oracle from 198.51.100.99 port 56001 ssh2
05_no_alert_control.log,4,Jul,14,12:05:11,server02,sshd,5102,invalid_user,failed,postgres,198.51.100.99,56002,ssh2,,,,,,,Jul 14 12:05:11 server02 sshd[5102]: Failed password for invalid user postgres from 198.51.100.99 port 56002 ssh2
05_no_alert_control.log,5,Jul,14,12:10:01,server03,sudo,,sudo_failure,failed,asmith,,,,asmith,1002,0,/dev/pts/1,asmith,,Jul 14 12:10:01 server03 sudo: pam_unix(sudo:auth): authentication failure; logname=asmith uid=1002 euid=0 tty=/dev/pts/1 ruser=asmith rhost= user=asmith
05_no_alert_control.log,6,Jul,14,12:10:31,server03,sudo,,sudo_failure,failed,asmith,,,,asmith,1002,0,/dev/pts/1,asmith,,Jul 14 12:10:31 server03 sudo: pam_unix(sudo:auth): authentication failure; logname=asmith uid=1002 euid=0 tty=/dev/pts/1 ruser=asmith rhost= user=asmith
05_no_alert_control.log,7,Jul,14,12:15:01,server04,sshd,5201,login_success,accepted,analyst,10.0.0.30,57001,ssh2,,,,,,,Jul 14 12:15:01 server04 sshd[5201]: Accepted password for analyst from 10.0.0.30 port 57001 ssh2
05_no_alert_control.log,8,Jul,14,12:15:20,server04,sshd,5201,connection_closed,closed,,10.0.0.30,57001,,,,,,,,Jul 14 12:15:20 server04 sshd[5201]: Connection closed by 10.0.0.30 port 57001
